ID,Date,S&P Change (close - open),S&P Open,S&P High,S&P Low,S&P Close,NYC Temp (high),NYC Temp (avg),NYC Temp (low),Avg Visibility (mi),NYC Wind (avg),NYC Wind (low),NYC Wind (high),NYC Precip (in),NYC Wx Events
117,5/9/17,-4.66,2401.580078,2403.870117,2392.439941,2396.919922,63,55,47,10,12,4,17,0,
118,5/10/17,2.84,2396.790039,2399.73999,2392.790039,2399.629883,63,56,49,10,7,3,-,0,
119,5/11/17,-0.4,2394.840088,2395.719971,2381.73999,2394.439941,62,57,51,10,7,4,-,0,
120,5/12/17,-1.54,2392.439941,2392.439941,2387.189941,2390.899902,65,57,48,10,12,4,17,0,
121,5/15/17,8.34,2393.97998,2404.050049,2393.939941,2402.320068,68,61,53,10,18,9,34,0,
122,5/16/17,-3.88,2404.550049,2405.77002,2396.050049,2400.669922,79,68,56,10,12,4,18,0,
123,5/17/17,-25.92,2382.949951,2384.870117,2356.209961,2357.030029,90,78,65,10,12,6,23,0,
124,5/18/17,11.03,2354.689941,2375.73999,2352.719971,2365.719971,92,84,75,10,14,6,23,0,
125,5/19/17,10.36,2371.370117,2389.060059,2370.429932,2381.72998,91,79,66,10,16,6,25,0,
126,5/22/17,6.81,2387.209961,2395.459961,2386.919922,2394.02002,61,57,53,4,10,3,16,0.59,Rain
127,5/23/17,1.38,2397.040039,2400.850098,2393.879883,2398.419922,69,63,56,9,10,2,15,0,
128,5/24/17,2.98,2401.409912,2405.580078,2397.98999,2404.389893,69,63,56,10,14,5,19,0.04,Rain
129,5/25/17,5.53,2409.540039,2418.709961,2408.01001,2415.070068,59,58,56,4,16,8,27,0.58,Rain
130,5/26/17,1.32,2414.5,2416.679932,2412.199951,2415.820068,73,65,56,9,16,5,25,0.1,Rain
131,5/30/17,1.24,2411.669922,2415.26001,2409.429932,2412.909912,60,58,55,8,12,3,17,0.06,Rain
132,5/31/17,-3.83,2415.629883,2415.98999,2403.590088,2411.800049,75,67,58,6,12,3,17,0.03,
133,6/1/17,14.41,2415.649902,2430.060059,2413.540039,2430.060059,79,69,59,10,13,4,22,0,
134,6/2/17,7.79,2431.280029,2440.22998,2427.709961,2439.070068,76,67,57,10,16,4,24,0.01,
135,6/5/17,-1.73,2437.830078,2439.550049,2434.320068,2436.100098,67,63,58,4,16,5,22,0.02,Rain
136,6/6/17,-2.59,2431.919922,2436.209961,2428.120117,2429.330078,58,55,52,8,13,7,19,0.06,Rain
137,6/7/17,1.11,2432.030029,2435.280029,2424.75,2433.139893,67,59,51,10,12,3,17,0,
138,6/8/17,-0.48,2434.27002,2439.27002,2427.939941,2433.790039,69,62,55,10,9,4,15,0,
139,6/9/17,-4.62,2436.389893,2446.199951,2415.699951,2431.77002,80,67,53,10,13,5,21,0,
140,6/12/17,3.51,2425.879883,2430.379883,2419.969971,2429.389893,93,85,76,10,12,4,18,0,
141,6/13/17,6.2,2434.149902,2441.48999,2431.280029,2440.350098,94,86,77,10,10,3,20,0,
142,6/14/17,-5.83,2443.75,2443.75,2428.340088,2437.919922,84,77,69,8,13,5,19,0.29,"Fog , Rain"
143,6/15/17,8.32,2424.139893,2433.949951,2418.530029,2432.459961,76,70,64,10,12,4,19,0,
144,6/16/17,1.91,2431.23999,2433.149902,2422.879883,2433.149902,68,66,63,9,10,5,17,0,
145,6/19/17,10.91,2442.550049,2453.820068,2441.790039,2453.459961,88,79,70,6,13,4,34,1.35,"Fog , Rain"
146,6/20/17,-13.63,2450.659912,2450.659912,2436.600098,2437.030029,83,77,71,8,15,5,24,0.03,Rain
147,6/21/17,-3.7,2439.310059,2442.22998,2430.73999,2435.610107,83,77,71,10,13,5,23,0,
148,6/22/17,-2.9,2437.399902,2441.620117,2433.27002,2434.5,83,76,68,10,8,2,19,0,
149,6/23/17,3.65,2434.649902,2441.399902,2431.110107,2438.300049,83,80,76,9,15,5,26,0.04,Rain
150,6/26/17,-4.25,2443.320068,2450.419922,2437.030029,2439.070068,79,72,64,10,12,3,19,0,
151,6/27/17,-16.96,2436.340088,2440.149902,2419.379883,2419.379883,77,69,60,9,12,4,20,0.18,Rain
152,6/28/17,11.99,2428.699951,2442.969971,2428.02002,2440.689941,78,70,61,10,15,5,22,0,
153,6/29/17,-22.68,2442.379883,2442.72998,2405.699951,2419.699951,82,75,68,10,12,5,22,0,
154,6/30/17,-5.79,2429.199951,2432.709961,2421.649902,2423.409912,88,81,73,10,13,6,24,0,
155,7/3/17,-2.38,2431.389893,2439.169922,2428.689941,2429.01001,88,80,71,8,16,2,27,0.45,"Fog , Rain"
156,7/5/17,1.76,2430.780029,2434.899902,2422.050049,2432.540039,85,78,70,10,12,5,19,0,
157,7/6/17,-13.69,2423.439941,2424.280029,2407.699951,2409.75,77,74,71,10,10,4,14,0,
158,7/7/17,11.66,2413.52002,2426.919922,2413.52002,2425.179932,80,74,68,6,14,5,22,1.78,"Fog , Rain"
159,7/10/17,2.92,2424.51001,2432,2422.27002,2427.429932,84,76,68,10,10,3,20,0,
160,7/11/17,-1.82,2427.350098,2429.300049,2412.790039,2425.530029,85,80,75,10,13,3,22,0,
161,7/12/17,7.5,2435.75,2445.76001,2435.75,2443.25,88,83,77,10,16,5,25,0,
162,7/13/17,2.84,2444.98999,2449.320068,2441.689941,2447.830078,90,85,79,10,14,5,22,0,Rain
163,7/14/17,10.11,2449.159912,2463.540039,2446.689941,2459.27002,73,69,65,5,13,5,17,0.35,Rain
164,7/17/17,-0.36,2459.5,2462.820068,2457.159912,2459.139893,85,79,73,10,12,3,21,0,
165,7/18/17,4.73,2455.879883,2460.919922,2450.340088,2460.610107,88,81,73,10,10,3,18,0,
166,7/19/17,9.98,2463.850098,2473.830078,2463.850098,2473.830078,92,85,77,10,12,3,16,0,
167,7/20/17,-2.11,2475.560059,2477.620117,2468.429932,2473.449951,94,86,77,9,12,3,17,0.01,Rain
168,7/21/17,5.14,2467.399902,2472.540039,2465.060059,2472.540039,92,84,76,10,10,4,18,0,
169,7/24/17,-2.13,2472.040039,2473.100098,2466.320068,2469.909912,73,68,63,6,15,7,23,0.74,"Fog , Rain"
170,7/25/17,-0.75,2477.879883,2481.23999,2474.909912,2477.129883,71,67,62,10,10,5,14,0,
171,7/26/17,-2.14,2479.969971,2481.689941,2474.939941,2477.830078,77,71,65,10,9,4,17,0,
172,7/27/17,-7.34,2482.76001,2484.040039,2459.929932,2475.419922,78,72,65,10,9,2,17,0,Rain
173,7/28/17,2.98,2469.120117,2473.530029,2464.659912,2472.100098,85,78,71,8,12,3,17,0,
174,7/31/17,-5.64,2475.939941,2477.959961,2468.530029,2470.300049,88,77,66,10,9,2,14,0,
175,8/1/17,-0.75,2477.100098,2478.51001,2471.139893,2476.350098,92,82,71,10,8,3,14,0,
176,8/2/17,-2.81,2480.379883,2480.379883,2466.47998,2477.570068,86,78,69,8,12,2,19,0.09,Rain
177,8/3/17,-3.87,2476.030029,2476.030029,2468.850098,2472.159912,87,78,68,8,9,2,19,0,
178,8/4/17,-0.05,2476.879883,2480,2472.080078,2476.830078,84,77,69,8,13,4,22,0.15,Rain
