date,accum,temp_min,temp_max,wind
11/26/2013,0,32.46,41.64,6.68
11/27/2013,0,40.93,61.76,6.74
11/29/2013,0,23.77,33.07,8.15
12/2/2013,0,37.53,40.07,4.91
12/3/2013,0,35.86,47.9,7.27
12/4/2013,0,34.06,44.04,6.98
12/5/2013,0,36.61,54.36,5.44
12/6/2013,0,37.31,55.4,5.91
12/9/2013,0,27.81,41.27,4.22
12/10/2013,0.316,27.82,36.88,9.16
12/11/2013,0,24.82,31.07,12.61
12/12/2013,0,18.57,26.76,9.66
12/13/2013,0,18.59,30.02,11.09
12/16/2013,0,21.14,29.41,12.91
12/17/2013,3.916,9.47,23.46,6.26
12/18/2013,0.36,19.17,33.9,10.34
12/19/2013,0,27.46,43.19,11.03
12/20/2013,0,36.03,51.67,8.2
1/15/2014,0,36.14,46.73,5.41
1/16/2014,0,34.42,38.34,2.99
1/17/2014,0,35.02,44.6,6.46
1/21/2014,1.195,12.8,26.77,10.3
1/22/2014,0.213,8.65,16.96,14.7
1/23/2014,0,5.95,21.41,10.84
1/24/2014,0,7.85,18.06,10.91
1/27/2014,0.154,21.34,45.58,8.86
1/28/2014,0,13.5,21.24,11.39
1/29/2014,0.16,15.27,25.89,8.35
1/30/2014,0,15.96,29.39,7.55
1/31/2014,0,21.71,41.28,7.73
2/3/2014,0.965,26.86,40.84,7.57
2/4/2014,0.025,22.54,33.64,4.18
2/5/2014,5.612,24.72,32.05,7.52
2/6/2014,0.137,18.73,26.62,5.44
2/7/2014,0,18.44,30.19,9.82
2/10/2014,0.061,19.81,28.26,9.86
2/11/2014,0,13.31,24.59,9.41
2/12/2014,0,7.71,23.94,2.09
2/13/2014,5.258,20.34,34.98,13.61
2/14/2014,0,30.68,36.28,13.66
2/18/2014,1.683,15.52,32.27,1
2/19/2014,1.555,22.83,34.9,2.11
2/20/2014,0,33.18,47.69,7.29
2/21/2014,0,34.52,44.14,4.87
2/24/2014,0,25.03,42.1,14.47
2/25/2014,0,21.45,28.83,12.14
2/26/2014,0,16.52,30.13,8.82
2/27/2014,0.31,12.5,27.53,7.17
2/28/2014,0,10.25,24.08,11.45
3/3/2014,0,16.85,30.2,10.93
3/4/2014,0,10.7,29.31,5.33
3/5/2014,0.042,20.08,27.58,7.81
3/6/2014,0,11.32,24.69,4.4
3/7/2014,0,16.91,33.04,1.55
3/10/2014,0.164,28.41,42.3,4.81
3/11/2014,0,36.57,56.94,6.17
3/12/2014,0,39.24,44.56,1.97
3/13/2014,0.852,18.93,37.88,16.74
3/14/2014,0,15.68,37.52,10.69
3/17/2014,0,16.47,26.65,6.67
3/18/2014,0,19.48,32.2,4.64
3/19/2014,0,26.78,38.66,7.06
3/20/2014,0,36.53,50.31,6.14
3/21/2014,0,34.68,42.66,15.73
3/24/2014,0,17,31.19,11.83
3/25/2014,0,21.48,36.72,4.44
3/26/2014,0.012,26.23,33.83,19.79
3/27/2014,0,21.2,45.27,11.03
3/28/2014,0,35.45,56.53,13.28
3/31/2014,0,34.46,40.76,13.78
4/1/2014,0,34.47,45.41,6.81
4/2/2014,0,38.13,45.44,1.56
4/3/2014,0,38.36,49.6,2.42
4/4/2014,0,37.28,41.96,8.16
4/7/2014,0,39.89,56.62,5.21
4/8/2014,0,43.19,63.41,6.39
4/9/2014,0,42.44,55.94,11.43
4/10/2014,0,36.64,57.54,10.43
4/11/2014,0,48.26,66.85,8.8
4/14/2014,0,55.49,73.12,19.19
4/15/2014,0,49.06,66.89,18.9
4/16/2014,0,32.35,45.26,14.9
4/17/2014,0,31.88,38.07,11.5
4/18/2014,0,31.79,40.97,6.53
4/21/2014,0,38.18,66.72,7.87
4/22/2014,0,47.64,69.98,10.78
4/23/2014,0,48.05,54.77,10.57
4/24/2014,0,42.12,56.25,20.58
4/25/2014,0,43.08,56.35,1.64
4/28/2014,0,41.16,52.03,6.39
4/29/2014,0,41.6,45.53,14.84
4/30/2014,0,41.23,43.53,11.12
5/1/2014,0,42.79,57.88,3.36
5/2/2014,0,50.96,67.03,7.86
5/5/2014,0,50.07,62.36,12.2
5/6/2014,0,46.49,61.01,8.23
5/7/2014,0,46.86,65.3,3.01
5/8/2014,0,49.53,61.01,1.84
5/9/2014,0,51.11,56.89,2.86
5/12/2014,0,61.08,82.4,5.32
5/13/2014,0,45.9,56.42,10.31
5/14/2014,0,45.89,63.26,7.21
5/15/2014,0,59.29,74.21,8.33
5/16/2014,0,62.43,70.76,12.36
5/19/2014,0,51.93,64,10.84
5/20/2014,0,52.82,66.24,3.26
9/2/2014,0,72.24,88.8,6.76
9/3/2014,0,71.74,81.89,8.33
9/4/2014,0,65.36,82.24,3.56
9/5/2014,0,67.94,87.53,9.78
9/8/2014,0,60.27,68.78,7
9/9/2014,0,61.18,67.2,8.89
