Year,Month,Total,BPD,BFD,EMS
2012,4,2974,2349,217,408
2012,4,2997,2373,201,423
2012,4,2735,2140,214,381
2012,4,2181,1680,181,320
2012,4,2836,2267,222,347
2012,4,3209,2565,239,405
2012,4,3154,2589,224,341
2012,4,2977,2371,239,367
2012,4,3144,2485,238,421
2012,4,2953,2275,252,426
2012,4,2835,2227,221,387
2012,4,3347,2356,316,675
2012,4,3046,2401,253,392
2012,4,2838,2247,227,364
2012,4,2936,2251,285,400
2012,4,3060,2407,272,381
2012,4,2868,2237,255,376
2012,4,2441,1850,216,375
2012,4,2907,2279,248,380
2012,4,2978,2331,252,395
2012,4,2845,2265,197,383
2012,4,2892,2298,229,365
2012,4,3040,2398,248,394
2012,4,2755,2194,202,359
2012,4,2531,1998,194,339
2012,4,2890,2346,201,343
2012,5,2851,2303,208,340
2012,5,2975,2306,276,393
2012,5,2849,2291,186,372
2012,5,3018,2374,253,391
2012,5,2744,2127,247,370
2012,5,2909,2268,224,417
2012,5,2928,2351,195,382
2012,5,2955,2299,271,385
2012,5,2981,2382,214,385
2012,5,2923,2278,274,371
2012,5,3050,2502,197,351
2012,5,3116,2448,236,432
2012,5,2706,2121,222,363
2012,5,3000,2377,219,404
2012,5,2828,2263,211,354
2012,5,3050,2447,228,375
2012,5,3080,2457,238,385
2012,5,3137,2534,211,392
2012,5,2963,2344,245,374
2012,5,2657,2088,191,378
2012,5,2986,2387,219,380
2012,5,2992,2365,233,394
2012,5,3041,2470,214,357
2012,5,3091,2475,232,384
2012,5,3156,2522,228,406
2012,5,3013,2363,238,412
2012,5,2685,2132,208,345
2012,5,2599,2086,180,333
2012,5,3162,2519,236,407
2012,5,3210,2622,209,379
2012,5,3330,2702,233,395
2012,6,3261,2575,252,434
2012,6,2730,2098,231,401
2012,6,2642,2065,208,369
2012,6,2886,2286,223,377
2012,6,2957,2366,221,370
2012,6,3128,2435,268,425
2012,6,3101,2448,233,420
2012,6,3135,2455,275,405
2012,6,2795,2189,194,412
2012,6,2899,2264,223,412
2012,6,2998,2353,253,392
2012,6,2998,2422,209,367
2012,6,2881,2277,232,372
2012,6,3284,2592,276,416
2012,6,3209,2500,262,447
2012,6,2760,2238,181,341
2012,6,2584,2027,195,362
2012,6,3054,2469,197,388
2012,6,3051,2430,218,403
2012,6,3314,2513,323,478
2012,6,3379,2599,289,491
2012,6,3164,2414,296,454
2012,6,3031,2311,284,436
2012,6,2764,2147,203,414
2012,6,2904,2235,267,402
2012,6,2892,2273,225,394
2012,6,3039,2387,239,413
2012,6,3054,2413,230,411
2012,6,3073,2423,240,410
2012,6,3153,2397,284,472
2012,7,2843,2152,228,463
2012,7,2980,2351,233,396
2012,7,3424,2713,248,463
2012,7,3640,2821,275,544
2012,7,3478,2790,244,444
2012,7,3131,2511,236,384
2012,7,2968,2301,250,417
2012,7,2613,2008,227,378
2012,7,3011,2379,228,404
2012,7,2984,2311,231,442
