Name,Team,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,WAR,HOF?
Robin Yount,Brewers,2856,12249,251,1632,1406,271,0.285,0.342,0.43,66.5,Yes
Manny Ramirez,- - -,2302,9774,555,1544,1831,38,0.312,0.411,0.585,66.4,No
Tim Raines,- - -,2502,10359,170,1571,980,807,0.294,0.385,0.425,66.4,Yes
Mark McGwire,- - -,1874,7660,583,1167,1414,12,0.263,0.394,0.588,66.3,No
Harmon Killebrew,- - -,2435,9831,573,1283,1584,19,0.256,0.376,0.509,66.1,Yes
Craig Biggio,Astros,2850,12504,291,1844,1175,414,0.281,0.363,0.433,65.8,Yes
Graig Nettles,- - -,2700,10227,390,1193,1314,32,0.248,0.329,0.421,65.7,No
Edgar Martinez,Mariners,2055,8678,309,1219,1262,49,0.312,0.418,0.515,65.5,No
Dwight Evans,- - -,2606,10569,385,1470,1384,78,0.272,0.37,0.47,65.1,No
Tony Gwynn,Padres,2440,10232,135,1383,1138,319,0.338,0.388,0.459,65,Yes
Reggie Smith,- - -,1987,8050,314,1123,1092,137,0.287,0.366,0.489,64.6,No
Jim Edmonds,- - -,2011,7980,393,1251,1199,67,0.284,0.376,0.527,64.5,No
Lou Boudreau,- - -,1646,7023,68,861,789,51,0.295,0.38,0.415,64.5,Yes
Chase Utley,- - -,1850,7676,258,1085,1011,151,0.276,0.359,0.469,64.5,N/a
Goose Goslin,- - -,2287,9822,248,1483,1609,175,0.316,0.387,0.5,64,Yes
Alan Trammell,Tigers,2293,9376,185,1231,1003,236,0.285,0.352,0.415,63.7,No
Yogi Berra,- - -,2120,8364,358,1175,1430,30,0.285,0.348,0.482,63.7,Yes
Mike Piazza,- - -,1912,7745,427,1048,1335,17,0.308,0.377,0.545,63.7,Yes
Roberto Alomar,- - -,2379,10400,210,1508,1134,474,0.3,0.371,0.443,63.6,Yes
Duke Snider,- - -,2143,8237,407,1259,1333,99,0.295,0.38,0.54,63.5,Yes
Sherry Magee,- - -,2087,8546,83,1112,1176,441,0.291,0.364,0.427,63.4,No
Ernie Banks,,2528,10395,512,1305,1636,50,0.274,0.33,0.5,63.3,Yes
