accum,min,max,wind,yesterdays_high,closed
299,0.0,37.68,42.65,13.32,48.63,0
301,0.0,40.46,61.06,13.21,48.1,0
302,0.0,49.38,62.63,5.29,61.06,0
303,0.0,45.18,60.4,7.95,62.63,0
304,0.0,52.16,71.59,14.75,60.4,0
306,0.0,40.5,42.64,13.25,46.8,0
307,0.0,42.65,65.4,2.01,42.64,0
308,0.0,49.13,62.56,6.7,65.4,0
309,0.0,45.32,51.24,7.96,62.56,0
311,0.0,47.74,60.26,5.15,63.96,0
312,0.0,47.4,58.98,3.94,60.26,0
313,0.0,47.9,67.6,3.73,58.98,0
314,0.0,44.13,52.13,8.61,67.6,0
316,0.0,49.7,70.3,5.93,56.32,0
317,0.0,54.2,63.45,7.91,70.3,0
318,0.0,55.74,61.76,4.03,63.45,0
319,0.0,56.07,67.23,1.17,61.76,0
321,0.0,43.28,57.43,8.89,58.41,0
322,0.0,44.91,63.29,8.68,57.43,0
323,0.0,53.97,80.41,11.34,63.29,0
324,0.0,54.01,66.38,5.65,80.40999999999998,0
327,0.0,62.08,81.29,9.25,79.31999999999998,0
328,0.0,59.18,67.69,1.15,81.29,0
329,0.0,51.66,68.74,3.62,67.69,0
331,0.0,58.92,74.94,9.8,68.99,0
332,0.0,69.96,93.82,8.58,74.94,0
333,0.0,70.95,85.01,9.44,93.82,0
334,0.0,61.99,73.37,1.58,85.01,0
336,0.0,45.24,58.14,6.12,66.23,0
337,0.0,50.55,73.16,6.36,58.14,0
338,0.0,54.51,69.88,3.39,73.15999999999998,0
339,0.0,56.22,69.32,1.72,69.88,0
341,0.0,46.72,65.44,7.58,64.05,0
342,0.0,51.45,61.1,2.71,65.44,0
343,0.0,55.18,60.81,4.83,61.1,0
344,0.0,57.2,62.95,5.93,60.81,0
346,0.0,53.02,72.9,2.71,61.92,0
347,0.0,59.93,79.96,9.67,72.9,0
348,0.0,60.42,76.81,5.53,79.95999999999998,0
349,0.0,59.51,64.09,1.85,76.81,0
351,0.0,54.08,65.04,8.39,75.90999999999998,0
