Academic Year,TAP College Code,Federal School Code,TAP College Name,TAP Sector Group,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2014,5960,2713,DOMINICAN COLLEGE BLAUVELT-GRAD,5-INDEPENDENT,1,0.5,"$16,420.00 "
2014,5720,2712,D'YOUVILLE COLLEGE,5-INDEPENDENT,1,0.5,"$7,315.00 "
2014,5540,2840,SUNY UPSTATE MEDICAL UNIV. (GRAD),3-SUNY SO,1,0.5,"$17,303.72 "
2014,5410,2899,WAGNER COLLEGE,5-INDEPENDENT,1,0.5,"$14,392.00 "
2014,5403,2751,LONG ISLAND UNIVERSITY,5-INDEPENDENT,1,0.5,"$15,525.00 "
2014,5345,10142,TOURO COLLEGE,5-INDEPENDENT,1,1,"$6,195.00 "
2014,5140,2894,UNIVERSITY OF ROCHESTER,5-INDEPENDENT,1,0.63,"$19,960.00 "
2014,5021,3979,COLUMBIA U TEACHERS COL GRAD,5-INDEPENDENT,1,0.5,"$17,315.00 "
2014,287,10153,HELENE FULD SCHOOL REG NURSING,5-INDEPENDENT,1,1,"$6,195.00 "
2014,5020,2707,COLUMBIA U GRADUATE PROGRAMS,5-INDEPENDENT,1,0.63,"$20,000.00 "
2014,5000,2666,ADELPHI UNIVERSITY,5-INDEPENDENT,1,1,"$6,195.00 "
2014,4886,2839,SUNY DOWNSTATE MEDICAL CENTER,3-SUNY SO,1,0.5,$250.00 
2014,2140,2795,PAUL SMITHS COLLEGE,5-INDEPENDENT,1,0.5,$250.00 
2014,210,6448,THE BELANGER SCHOOL OF NURSING,5-INDEPENDENT,1,0.5,$750.00 
2014,2093,2763,MARIA COLLEGE-REGULAR DAY,5-INDEPENDENT,1,0.5,"$3,097.50 "
2014,410,2759,MANHATTAN SCHOOL OF MUSIC,5-INDEPENDENT,1,0.5,$250.00 
2014,8550,15375,EASTERN SUFFOLK BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$3,097.50 "
2014,8549,2838,SUNY STONY BROOK,VOCATIONAL - VET SCHOOLS ONLY,1,1,"$6,195.00 "
2014,8548,30816,DCMO BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$1,464.90 "
2014,8546,0,FOCUS PERSONAL TRAINING INSTITUTE,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$3,097.50 "
2014,8545,42062,THE DIGITAL FILM ACADEMCY,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$5,895.00 "
2014,8544,0,PAUL MITCHELL THE SCHOOL,6-BUS. DEGREE,1,0.5,"$2,995.00 "
2014,2051,2713,DOMINICAN COLLEGE OF BLAUVELT,5-INDEPENDENT,1,0.5,"$3,097.50 "
2014,8542,0,COMPU21 CORP,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$3,097.50 "
2014,8539,12293,VEEB NASSAU COUNTY,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$3,097.50 "
2014,8535,15204,WASH-SAR-WAR-HAM-ESS BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,1,"$4,112.40 "
2014,838,9479,ST PAUL'S SCH NURSING MED/DENTAL,5-INDEPENDENT,1,0.67,"$9,261.99 "
2014,8531,12557,ERIE 1 BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$1,910.00 "
2014,8510,37733,CNW SCHOOL OF MASSAGE THERAPY,VOCATIONAL - VET SCHOOLS ONLY,1,0.5,"$3,097.50 "
2014,7870,9077,UTICA SCHOOL OF COMMERCE,6-BUS. DEGREE,1,1.5,$675.00 
2014,25,6435,ARNOT OGDEN MEDICAL CENTER,8-OTHER,1,0.33,$500.00 
2013,880,2836,SUNY BINGHAMTON,3-SUNY SO,833,804.5,"$1,181,443.95 "
2013,1010,2837,SUNY BUFFALO,3-SUNY SO,779,735.46,"$963,093.61 "
2013,875,2838,SUNY STONY BROOK,3-SUNY SO,698,640.79,"$679,363.25 "
2013,650,2806,ROCHESTER INSTITUTE OF TECHLGY,5-INDEPENDENT,591,489.83,"$479,510.38 "
2013,1411,2688,CUNY CITY COLLEGE,1-CUNY SR,546,485.67,"$479,096.57 "
2013,920,2845,SUC GENESEO,3-SUNY SO,496,482.25,"$565,628.50 "
2013,175,2711,CORNELL UNIVERSITY,5-INDEPENDENT,488,473.5,"$502,917.50 "
2013,1413,2689,CUNY HUNTER COLLEGE,1-CUNY SR,485,420.88,"$363,528.18 "
2013,174,2711,CORNELL UNIV STATUTORY COLLEGES,3-SUNY SO,467,453.5,"$367,750.00 "
2013,555,2785,NEW YORK UNIVERSITY,5-INDEPENDENT,432,414.42,"$615,331.39 "
2013,985,2882,SYRACUSE UNIVERSITY (UNDERGRAD),5-INDEPENDENT,425,412.29,"$581,996.57 "
2013,1015,2894,UNIVERSITY OF ROCHESTER,5-INDEPENDENT,397,389.83,"$322,457.50 "
2013,895,2835,SUNY ALBANY (UNDERGRAD),3-SUNY SO,331,301.17,"$723,302.65 "
2013,635,2803,RENSSELAER POLYTECHNIC INST,5-INDEPENDENT,317,306,"$300,645.00 "
2013,120,2699,CLARKSON UNIVERSITY,5-INDEPENDENT,309,292.5,"$293,675.00 "
2013,751,2823,ST JOHNS UNIVERSITY,5-INDEPENDENT,287,274.75,"$575,812.00 "
2013,1409,7273,CUNY BARUCH COLLEGE,1-CUNY SR,282,249.71,"$285,675.70 "
2013,1416,2690,CUNY QUEENS COLLEGE,1-CUNY SR,262,226.75,"$271,358.59 "
2013,171,2707,COLUMBIA UNIV,5-INDEPENDENT,260,250.63,"$492,582.25 "
2013,245,2722,FORDHAM UNIVERSITY,5-INDEPENDENT,241,232.83,"$489,204.23 "
2013,1410,2687,CUNY BROOKLYN COLLEGE,1-CUNY SR,234,196.29,"$185,076.56 "
2013,330,2739,ITHACA COLLEGE,5-INDEPENDENT,197,191,"$237,094.00 "
2013,905,2842,SUC BUFFALO,3-SUNY SO,189,163.67,"$495,552.54 "
2013,925,2846,SUC NEW PALTZ,3-SUNY SO,164,149,"$349,173.49 "
2013,90,2681,CANISIUS COLLEGE,5-INDEPENDENT,163,154.25,"$157,668.75 "
2013,900,2841,SUC BROCKPORT (UNDERGRAD),3-SUNY SO,162,149.42,"$335,573.06 "
2013,930,2847,SUC ONEONTA,3-SUNY SO,156,147.25,"$535,143.20 "
2013,935,2848,SUC OSWEGO (UNDERGRAD),3-SUNY SO,155,143.96,"$404,390.25 "
2013,300,2732,HOFSTRA UNIVERSITY,5-INDEPENDENT,151,139.5,"$382,779.69 "
2013,913,10286,SUC EMPIRE STATE COLLEGE,3-SUNY SO,147,92.04,"$559,777.15 "
2013,1414,2693,CUNY JOHN JAY COLLEGE,1-CUNY SR,146,114.88,"$180,829.33 "
2013,915,2844,SUC FREDONIA,3-SUNY SO,143,135.5,"$195,789.00 "
2013,945,2850,SUC POTSDAM,3-SUNY SO,140,130.5,"$237,751.50 "
2013,1412,7022,CUNY HERBERT H LEHMAN COLLEGE,1-CUNY SR,135,107.63,"$127,542.28 "
2013,125,2701,COLGATE UNIVERSITY,5-INDEPENDENT,135,132.5,"$185,810.00 "
2013,403,2751,LONG ISLAND UNIVERSITY,5-INDEPENDENT,133,120.5,"$391,468.50 "
2013,2180,2872,MONROE COMMUNITY COLLEGE,4-SUNY CC,129,99.46,"$147,213.50 "
2013,10,2666,ADELPHI UNIVERSITY,5-INDEPENDENT,127,120.5,"$234,067.50 "
2013,610,2796,POLYTECHNIC UNIVERSITY,5-INDEPENDENT,126,122.5,"$100,213.50 "
2013,685,2816,SIENA COLLEGE,5-INDEPENDENT,124,121.5,"$201,708.00 "
2013,375,2748,LEMOYNE COLLEGE,5-INDEPENDENT,124,121.25,"$142,278.75 "
2013,2065,10684,ERIE COMMUNITY COLL - ALL CAMPUS,4-SUNY CC,120,93.92,"$211,812.21 "
2013,990,2889,UNION COLLEGE,5-INDEPENDENT,116,113.67,"$167,674.16 "
2013,270,2728,HAMILTON COLLEGE,5-INDEPENDENT,115,113.5,"$138,130.00 "
2013,910,2843,SUC CORTLAND (UNDERGRAD),3-SUNY SO,115,106.13,"$652,515.81 "
2013,1417,2698,CUNY COL STATEN ISLAND,1-CUNY SR,111,89.5,"$198,540.47 "
2013,2185,2875,ONONDAGA COMMUNITY COLLEGE,4-SUNY CC,111,84.25,"$256,249.01 "
2013,215,2718,ELMIRA COLLEGE,5-INDEPENDENT,111,106.33,"$167,788.90 "
2013,440,2765,MARIST COLLEGE,5-INDEPENDENT,111,105,"$502,006.99 "
2013,775,2829,ST LAWRENCE UNIVERSITY,5-INDEPENDENT,109,107,"$123,230.00 "
2013,940,2849,SUNY PLATTSBURGH,3-SUNY SO,108,96.96,"$235,721.29 "
2013,995,2885,ALBANY COLLEGE OF PHARMACY,5-INDEPENDENT,107,104,"$81,325.00 "
2013,525,2779,NAZARETH COLLEGE,5-INDEPENDENT,107,98.71,"$120,010.34 "
2013,735,2821,ST JOHN FISHER COLLEGE,5-INDEPENDENT,106,102.13,"$116,806.75 "
2013,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,1-CUNY SR,104,72.79,"$86,298.49 "
2013,670,2808,DAEMEN COLLEGE,5-INDEPENDENT,103,89.58,"$115,246.91 "
2013,1030,2895,VASSAR COLLEGE,5-INDEPENDENT,102,95,"$77,000.00 "
2013,950,2851,SUC ENV SCI&FORESTRY,3-SUNY SO,102,95.63,"$169,974.89 "
2013,758,2825,ST JOSEPHS COLLEGE,5-INDEPENDENT,102,95.25,"$204,941.26 "
2013,155,2708,BARNARD COLLEGE,5-INDEPENDENT,100,98.5,"$85,950.00 "
2013,405,2758,MANHATTAN COLLEGE,5-INDEPENDENT,92,89.5,"$256,002.50 "
2013,1418,4759,CUNY YORK COLLEGE,1-CUNY SR,88,69.75,"$66,273.30 "
2013,2120,2782,NEW YORK INST TECH 4YR,5-INDEPENDENT,88,77.88,"$186,417.13 "
2013,855,2814,SKIDMORE COLLEGE,5-INDEPENDENT,88,86.75,"$112,855.00 "
2013,2157,2878,SUFFOLK COMMUNITY COLLEGE,4-SUNY CC,86,65.63,"$253,054.32 "
2013,1404,2691,CUNY MANHATTAN CC,2-CUNY CC,84,58.46,"$84,555.50 "
2013,865,10142,TOURO COLLEGE,5-INDEPENDENT,83,79.33,"$90,834.14 "
2013,695,2817,ST BONAVENTURE UNIVERSITY,5-INDEPENDENT,75,72.25,"$102,824.50 "
2013,325,2737,IONA COLLEGE,5-INDEPENDENT,74,72,"$412,009.50 "
2013,560,2788,NIAGARA UNIVERSITY,5-INDEPENDENT,71,68,"$96,075.00 "
2013,2100,2772,MERCY COLLEGE,5-INDEPENDENT,70,64.83,"$221,174.85 "
2013,295,2731,HOBART AND WILLIAM SMITH COLLEGES,5-INDEPENDENT,69,67,"$60,775.00 "
2013,305,2734,HOUGHTON COLLEGE,5-INDEPENDENT,67,64,"$68,866.50 "
2013,590,2791,PACE UNIVERSITY,5-INDEPENDENT,66,62,"$176,974.00 "
2013,285,2729,HARTWICK COLLEGE,5-INDEPENDENT,66,64.5,"$165,680.75 "
2013,1022,2883,SYRACUSE UNIV UTICA COLLEGE,5-INDEPENDENT,65,61.5,"$154,156.00 "
2013,970,6791,SUC PURCHASE,3-SUNY SO,64,60.75,"$198,687.50 "
2013,1402,2694,CUNY KINGSBOROUGH CC,2-CUNY CC,58,43.63,"$109,811.00 "
2013,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,4-SUNY CC,58,44.96,"$76,414.85 "
2013,500,2775,MOLLOY COLLEGE,5-INDEPENDENT,57,53.75,"$245,011.25 "
2013,6025,2858,SUNY COLLEGE OF TECH FARMINGDALE,3-SUNY SO,56,47.04,"$203,789.89 "
2013,140,2705,COLLEGE OF SAINT ROSE,5-INDEPENDENT,56,55,"$122,469.50 "
2013,2113,2873,NASSAU COMMUNITY COLLEGE,4-SUNY CC,53,42.54,"$174,365.88 "
2013,2105,2871,MOHAWK VALLEY COMMUNITY COLLEGE,4-SUNY CC,52,43.92,"$62,710.00 "
2013,2042,2863,CORNING COMMUNITY COLLEGE,4-SUNY CC,52,40.5,"$90,232.90 "
2013,2085,2869,JAMESTOWN COMMUNITY COLLEGE,4-SUNY CC,50,37.63,"$45,643.00 "
2013,195,2712,D'YOUVILLE COLLEGE,5-INDEPENDENT,50,45.38,"$72,969.63 "
2013,6005,2854,SUNY COLLEGE OF TECH AT ALFRED,3-SUNY SO,48,43.13,"$80,434.05 "
2013,640,2805,ROBERTS WESLEYAN COLLEGE,5-INDEPENDENT,48,42.96,"$72,561.63 "
2013,755,2825,ST JOSEPHS COLLEGE,5-INDEPENDENT,46,43.13,"$95,338.07 "
2013,6018,4799,MONROE COLLEGE,6-BUS. DEGREE,45,42.88,"$125,471.24 "
2013,20,2668,ALFRED UNIVERSITY,5-INDEPENDENT,45,43.5,"$75,275.00 "
2013,2215,2874,NIAGARA COMMUNITY COLLEGE,4-SUNY CC,45,36.33,"$83,029.27 "
2013,505,2777,MEDAILLE COLLEGE,5-INDEPENDENT,45,42.33,"$95,678.00 "
2013,1040,2899,WAGNER COLLEGE,5-INDEPENDENT,44,42.5,"$120,989.00 "
2013,170,2710,COOPER UNION ADVNCMT SCI ART,5-INDEPENDENT,44,43,"$37,500.00 "
2013,1085,2903,YESHIVA UNIVERSITY,5-INDEPENDENT,43,42.5,"$39,750.00 "
2013,2125,2876,ORANGE COUNTY COMMUNITY COLLEGE,4-SUNY CC,43,32.13,"$116,439.22 "
2013,675,2810,THE SAGE COLLEGES,5-INDEPENDENT,42,37,"$30,270.00 "
2013,591,2791,PACE UNIVERSITY WESTCHESTER,5-INDEPENDENT,42,39.29,"$137,099.07 "
2013,2110,2778,MOUNT SAINT MARY COLLEGE,5-INDEPENDENT,42,39.75,"$357,953.38 "
2013,2220,2870,JEFFERSON COMMUNITY COLLEGE,4-SUNY CC,41,31.58,"$59,867.10 "
2013,4975,11678,SUNY POLYTECHNIC INSTITUTE,3-SUNY SO,40,36.21,"$55,736.33 "
2013,1400,2692,CUNY BRONX CC,2-CUNY CC,39,26.33,"$34,764.38 "
2013,3005,2854,SUNY COLLEGE OF TECH AT ALFRED,3-SUNY SO,38,36,"$74,709.50 "
2013,955,2853,SUNY MARITIME COLLEGE,3-SUNY SO,38,36.25,"$314,156.50 "
2013,3010,2855,SUNY COLLEGE OF TECH AT CANTON,3-SUNY SO,37,31.75,"$96,410.00 "
2013,2000,2860,ADIRONDACK COMMUNITY COLLEGE,4-SUNY CC,37,32,"$58,965.40 "
2013,715,2820,ST FRANCIS COLLEGE,5-INDEPENDENT,36,31.5,"$80,387.00 "
2013,6730,8556,BERKELEY COLLEGE,6-BUS. DEGREE,36,28.42,"$99,664.35 "
2013,35,2671,BARD COLLEGE,5-INDEPENDENT,36,34.5,"$68,975.00 "
2013,1415,10097,CUNY MEDGER EVERS COLLEGE,1-CUNY SR,35,25.25,"$40,288.95 "
2013,2005,2861,CAYUGA COMMUNITY COLLEGE,4-SUNY CC,35,25.71,"$61,018.00 "
2013,965,7109,SUNY COLLEGE AT OLD WESTBURY (UG),3-SUNY SO,33,28.25,"$50,190.30 "
2013,1403,10051,CUNY LAGUARDIA CC,2-CUNY CC,32,25,"$66,993.75 "
2013,2256,7532,FINGER LAKES COMMUNITY COLLEGE,4-SUNY CC,32,23.5,"$57,095.60 "
2013,2025,2862,BROOME COMMUNITY COLLEGE,4-SUNY CC,32,23.75,"$58,750.60 "
2013,1407,2697,CUNY QUEENSBOROUGH CC,2-CUNY CC,31,21.92,"$39,447.65 "
2013,6010,2855,SUNY COLLEGE OF TECH AT CANTON,3-SUNY SO,31,25.13,"$94,809.89 "
