Academic Year,College Name,Sector Group,Headcount,Amount
2015,WELLS COLLEGE,5-INDEPENDENT,32,"$25,145.00 "
2015,NIAGARA COMMUNITY COLLEGE,4-SUNY CC,31,"$48,378.00 "
2015,SUNY COBLESKILL,3-SUNY SO,30,"$110,728.09 "
2015,MEDAILLE COLLEGE,5-INDEPENDENT,30,"$47,770.86 "
2015,CUNY QUEENSBOROUGH CC,2-CUNY CC,29,"$49,131.94 "
2015,BARD COLLEGE,5-INDEPENDENT,29,"$20,000.00 "
2015,COOPER UNION ADVNCMT SCI ART,5-INDEPENDENT,29,"$24,500.00 "
2015,GENESEE COMMUNITY COLLEGE,4-SUNY CC,28,"$37,115.00 "
2015,VAUGHN COLL AERONAUTICS TECH,5-INDEPENDENT,27,"$83,099.67 "
2015,WESTCHESTER COMMUNITY COLLEGE,4-SUNY CC,26,"$87,218.43 "
2015,CUNY HOSTOS CC,2-CUNY CC,25,"$21,615.00 "
2015,MORRISVILLE STATE COLLEGE,3-SUNY SO,25,"$99,307.50 "
2015,BROOME COMMUNITY COLLEGE,4-SUNY CC,25,"$64,904.75 "
2015,KEUKA COLLEGE,5-INDEPENDENT,25,"$42,679.84 "
2015,TROCAIRE COLLEGE,5-INDEPENDENT,25,"$50,913.34 "
2015,SUNY COLLEGE OF TECH AT CANTON,3-SUNY SO,24,"$60,403.19 "
2015,PRATT INSTITUTE,5-INDEPENDENT,24,"$54,513.50 "
2015,FASHION INST TECH UPPER DIVISION,4-SUNY CC,23,"$30,300.00 "
2015,SCHOOL OF VISUAL ARTS,6-BUS. DEGREE,23,"$125,065.00 "
2015,CAYUGA COMMUNITY COLLEGE,4-SUNY CC,22,"$33,677.00 "
2015,ST THOMAS AQUINAS COLLEGE,5-INDEPENDENT,22,"$72,189.50 "
2015,MONROE COLLEGE,6-BUS. DEGREE,22,"$61,851.83 "
2015,EXCELSIOR COLLEGE,5-INDEPENDENT,21,"$34,969.50 "
2015,MANHATTANVILLE COLLEGE,5-INDEPENDENT,21,"$76,771.00 "
2015,COL OF MT ST VINCENT 4YR SEM,5-INDEPENDENT,20,"$26,936.50 "
2015,SUNY COBLESKILL,3-SUNY SO,19,"$41,914.00 "
2015,DUTCHESS COMMUNITY COLLEGE,4-SUNY CC,19,"$69,484.00 "
2015,ROCKLAND COMMUNITY COLLEGE,4-SUNY CC,19,"$62,715.75 "
2015,COLL OF NEW ROCHELLE NEW RESOURCE,5-INDEPENDENT,19,"$62,154.11 "
2015,SUNY COLLEGE OF TECH AT DELHI,3-SUNY SO,18,"$109,266.40 "
2015,BERKELEY COLLEGE,6-BUS. DEGREE,18,"$60,499.76 "
2015,MORRISVILLE STATE COLLEGE,3-SUNY SO,16,"$57,430.00 "
2015,NYACK COLLEGE,5-INDEPENDENT,16,"$59,784.99 "
2015,THE SAGE COLLEGES,5-INDEPENDENT,16,"$209,401.88 "
2015,TOMPKINS CORTLAND COMM COLLEGE,4-SUNY CC,15,"$45,746.50 "
2015,DOWLING COLLEGE,5-INDEPENDENT,15,"$87,769.88 "
2015,NEW YORK AUTOMOTIVE & DIESEL INST,VOCATIONAL - VET SCHOOLS ONLY,14,"$51,177.75 "
2015,SUNY COLLEGE OF TECH AT DELHI,3-SUNY SO,13,"$53,352.37 "
2015,FULTON MONTGOMERY COMM COLLEGE,4-SUNY CC,13,"$14,255.80 "
2015,ULSTER COMMUNITY COLLEGE,4-SUNY CC,13,"$15,511.60 "
2015,HILBERT COLLEGE,5-INDEPENDENT,13,"$17,289.38 "
2015,SARAH LAWRENCE COLLEGE,5-INDEPENDENT,13,"$8,500.00 "
2015,SCHENECTADY COUNTY COMM COLLEGE,4-SUNY CC,12,"$12,799.00 "
2015,CUNY GRAD SCH AND UNIV CENTER,1-CUNY SR,11,"$175,337.24 "
2015,HERKIMER COMMUNITY COLLEGE,4-SUNY CC,11,"$8,220.00 "
2015,MARYMOUNT MANHATTAN COLLEGE,5-INDEPENDENT,11,"$62,421.00 "
2015,ST JOSEPHS COLLEGE,5-INDEPENDENT,11,"$139,257.46 "
2015,BRIARCLIFFE COLLEGE,6-BUS. DEGREE,11,"$59,529.50 "
2015,SWEDISH INSTITUTE,6-BUS. DEGREE,11,"$55,207.50 "
2015,SUNY COLLEGE OF TECH FARMINGDALE,3-SUNY SO,10,"$46,448.13 "
2015,DOMINICAN COLLEGE OF BLAUVELT,5-INDEPENDENT,10,"$65,618.50 "
2015,FIVE TOWNS COLLEGE,6-BUS. DEGREE,10,"$44,489.43 "
2015,"NATIONAL TRACTOR TRAILER SCHOOL,",VOCATIONAL - VET SCHOOLS ONLY,10,"$25,630.00 "
2015,PAUL SMITHS COLLEGE,5-INDEPENDENT,9,"$11,395.00 "
2015,ST JOSEPH HOSP SCH NURS SYRACUSE,5-INDEPENDENT,9,"$23,235.00 "
2015,DEVRY COLLEGE OF NEW YORK,6-BUS. DEGREE,8,"$20,158.50 "
2015,SUNY POLYTECHNIC INSTITUTE,3-SUNY SO,7,"$73,272.50 "
2015,CLINTON COMMUNITY COLLEGE,4-SUNY CC,7,"$6,075.00 "
2015,EXCELSIOR COLLEGE GRAD,5-INDEPENDENT,7,"$97,579.97 "
2015,LONG ISLAND UNIVERSITY,5-INDEPENDENT,7,"$92,547.50 "
2015,METROPOLITAN COLLEGE OF NY,5-INDEPENDENT,7,"$30,427.50 "
2015,ST ELIZABETH COLG OF NURSING,5-INDEPENDENT,7,"$29,284.28 "
2015,INTERNATIONAL CULINARY CENTER,VOCATIONAL - VET SCHOOLS ONLY,7,"$18,041.25 "
2015,CUNY GRAD SCH UNDERGRAD PROG,1-CUNY SR,6,"$8,911.88 "
2015,SUNY BUFFALO,3-SUNY SO,6,"$117,036.91 "
2015,COLUMBIA-GREENE COMMUNITY COLLEGE,4-SUNY CC,6,"$25,642.00 "
2015,DAEMEN COLLEGE GRAD,5-INDEPENDENT,6,"$68,642.56 "
2015,PACE UNIVERSITY GRAD,5-INDEPENDENT,6,"$76,960.00 "
2015,UNIVERSITY OF ROCHESTER,5-INDEPENDENT,6,"$5,000.00 "
2015,VILLA MARIA COLLEGE OF BUFFALO,5-INDEPENDENT,6,"$2,750.00 "
2015,WEBB INST OF NAVAL ARCH.,5-INDEPENDENT,6,"$4,000.00 "
2015,BERKELEY COLLEGE,6-BUS. DEGREE,6,"$24,560.68 "
2015,BRYANT & STRATTON BUFFALO,6-BUS. DEGREE,6,"$48,770.00 "
2015,BRYANT & STRATTON BUFFALO,6-BUS. DEGREE,6,"$2,325.00 "
2015,LAB INST OF MERCHANDISING,6-BUS. DEGREE,6,"$32,224.00 "
2015,CHARLES STUART SCHOOL,VOCATIONAL - VET SCHOOLS ONLY,6,"$8,970.00 "
2015,STELLA & CHARLES GUTTMAN CC,2-CUNY CC,5,"$5,500.00 "
2015,SUNY STONY BROOK,3-SUNY SO,5,"$70,832.50 "
2015,BORICUA COLLEGE,5-INDEPENDENT,5,"$23,439.00 "
2015,BRAMSON ORT COLLEGE,5-INDEPENDENT,5,"$12,594.75 "
2015,CULINARY INSTITUTE OF AMERICA,5-INDEPENDENT,5,"$17,986.50 "
2015,DOWLING COLLEGE,5-INDEPENDENT,5,"$90,602.50 "
2015,ROBERTS WESLEYAN COLLEGE-GRAD,5-INDEPENDENT,5,"$85,466.50 "
2015,COLL WESTCHESTER 2YR,6-BUS. DEGREE,5,"$6,811.88 "
2015,TECHNICAL CAREER INSTITUTES,6-BUS. DEGREE,5,"$9,379.00 "
2015,CUNY HUNTER COLLEGE GRAD,1-CUNY SR,4,"$67,863.24 "
2015,NORTH COUNTRY COMMUNITY COLLEGE,4-SUNY CC,4,"$4,523.00 "
2015,SULLIVAN COMMUNITY COLLEGE,4-SUNY CC,4,"$12,225.75 "
2015,CONCORDIA COLLEGE,5-INDEPENDENT,4,"$4,222.50 "
2015,DOMINICAN COLLEGE BLAUVELT-GRAD,5-INDEPENDENT,4,"$58,520.00 "
2015,MOLLOY COLLEGE,5-INDEPENDENT,4,"$58,885.00 "
2015,MOUNT SAINT MARY COLLEGE,5-INDEPENDENT,4,"$54,493.52 "
2015,ST JOHN FISHER COLLEGE-GRADUATE,5-INDEPENDENT,4,"$77,917.50 "
2015,BRYANT & STRATTON ROCHESTER,6-BUS. DEGREE,4,"$12,178.13 "
2015,BRYANT & STRATTON SYRACUSE,6-BUS. DEGREE,4,"$13,890.00 "
2015,SWEDISH INST QRTLY PROGRAMS,6-BUS. DEGREE,4,"$9,326.68 "
2015,WOOD TOBE-COBURN SCHOOL,6-BUS. DEGREE,4,"$13,232.50 "
2015,WESTERN SUFFOLK BOCES,VOCATIONAL - VET SCHOOLS ONLY,4,"$9,428.50 "
2015,SUNY COLLEGE DELHI NURSING PROG,3-SUNY SO,3,"$38,505.48 "
2015,ADELPHI UNIVERSITY,5-INDEPENDENT,3,"$37,097.50 "
2015,DAVIS COLLEGE,5-INDEPENDENT,3,"$17,867.00 "
2015,JUILLIARD SCHOOL,5-INDEPENDENT,3,"$2,500.00 "
2015,NEW YORK UNIVERSITY GRAD,5-INDEPENDENT,3,"$53,890.00 "
2015,COLL WESTCHESTER 4YR BBA EVE,6-BUS. DEGREE,3,"$15,206.50 "
2015,ITT TECHNICAL INSTITUTE,6-BUS. DEGREE,3,"$12,990.00 "
2015,LINCOLN TECHNICAL INSTITUTE,VOCATIONAL - VET SCHOOLS ONLY,3,"$12,990.00 "
2015,"NATIONAL TRACTOR TRAILER SCHOOL,",VOCATIONAL - VET SCHOOLS ONLY,3,"$9,742.50 "
2015,STAR CAREER ACADEMY,VOCATIONAL - VET SCHOOLS ONLY,3,"$8,118.75 "
2015,SUNY BINGHAMTON(GRAD),3-SUNY SO,2,"$26,495.00 "
2015,SUNY PLATTSBURGH GRAD,3-SUNY SO,2,"$12,990.00 "
2015,COLUMBIA U GRADUATE PROGRAMS,5-INDEPENDENT,2,"$33,287.50 "
2015,COLUMBIA UNIV NURSING PROG,5-INDEPENDENT,2,"$10,367.50 "
2015,CROUSE HOSPITAL,5-INDEPENDENT,2,"$6,745.00 "
2015,CULINARY INSTITUTE OF AMERICA,5-INDEPENDENT,2,$750.00 
2015,KEUKA COLLEGE,5-INDEPENDENT,2,"$16,648.52 "
2015,MARIA COLLEGE 4 YR,5-INDEPENDENT,2,"$17,434.50 "
2015,MERCY COLLEGE,5-INDEPENDENT,2,"$26,207.97 "
2015,NEW YORK COLL OF HEALTH PROFESSIO,5-INDEPENDENT,2,"$3,747.50 "
2015,ST JOSEPHS COLLEGE - WEEKEND,5-INDEPENDENT,2,"$5,104.40 "
2015,ST PAUL'S SCH NURSING,5-INDEPENDENT,2,"$11,846.50 "
2015,ST PAUL'S SCH NURSING MED ASSIST,5-INDEPENDENT,2,"$6,995.01 "
2015,ST PAUL'S SCH NURSING MED/DENTAL,5-INDEPENDENT,2,"$20,294.50 "
2015,THE KING'S COLLEGE,5-INDEPENDENT,2,"$2,000.00 "
2015,WAGNER COLLEGE,5-INDEPENDENT,2,"$10,495.00 "
2015,AMERICAN ACADEMY MCALLISTER INST.,6-BUS. DEGREE,2,"$13,816.00 "
2015,ART INSTITUTE OF NEW YORK CITY,6-BUS. DEGREE,2,"$7,995.00 "
2015,ASA INSTITUTE OF BUSINESS,6-BUS. DEGREE,2,$475.00 
2015,ITT TECHNICAL INSTITUTE,6-BUS. DEGREE,2,$700.00 
2015,MONROE COLLEGE,6-BUS. DEGREE,2,"$1,000.00 "
2015,NEW YORK  METHODIST HOSPITAL,8-OTHER,2,"$28,364.00 "
2015,BRANFORD HALL CAREER INST BOHEMIA,VOCATIONAL - VET SCHOOLS ONLY,2,"$6,495.00 "
2015,CAMBRIDGE BUSINESS INSTITUTE,VOCATIONAL - VET SCHOOLS ONLY,2,"$4,871.25 "
2015,CNW SCHOOL OF MASSAGE THERAPY,VOCATIONAL - VET SCHOOLS ONLY,2,"$6,495.00 "
2015,NEW YORK FILM ACADEMY,VOCATIONAL - VET SCHOOLS ONLY,2,"$6,495.00 "
2015,CUNY HERBERT H LEHMAN GRAD,1-CUNY SR,1,"$20,000.00 "
2015,CUNY YORK COLLEGE,1-CUNY SR,1,$500.00 
2015,SUC EMPIRE STATE COLLEGE,3-SUNY SO,1,"$5,076.40 "
2015,SUC NEW PALTZ,3-SUNY SO,1,"$6,495.00 "
2015,SUC OLD WESTBURY,3-SUNY SO,1,"$6,495.00 "
2015,SUC POTSDAM,3-SUNY SO,1,"$6,495.00 "
2015,SUNY DOWNSTATE MEDICAL CENTER,3-SUNY SO,1,$750.00 
2015,SUNY UPSTATE MEDICAL UNIV,3-SUNY SO,1,"$1,500.00 "
2015,SUNY UPSTATE MEDICAL UNIV. (GRAD),3-SUNY SO,1,"$15,452.70 "
2015,COLUMBIA U TEACHERS COL GRAD,5-INDEPENDENT,1,"$14,630.00 "
2015,D'YOUVILLE COLLEGE,5-INDEPENDENT,1,"$14,630.00 "
2015,HELENE FULD SCHOOL REG NURS BA,5-INDEPENDENT,1,"$3,247.50 "
2015,HELENE FULD SCHOOL REG NURSING,5-INDEPENDENT,1,"$2,165.00 "
2015,MARIA COLLEGE-REGULAR DAY,5-INDEPENDENT,1,$250.00 
2015,MERCY COLLEGE-GRAD,5-INDEPENDENT,1,"$11,945.00 "
2015,NY COLL HEALTH PROF,5-INDEPENDENT,1,"$11,233.50 "
2015,PAUL SMITHS COLLEGE,5-INDEPENDENT,1,$500.00 
2015,ST JOHNS UNIVERSITY - GRAD,5-INDEPENDENT,1,"$6,495.00 "
2015,ST PAUL'S SCH NURSING SI,5-INDEPENDENT,1,"$3,247.50 "
2015,THE NEW SCHOOL,5-INDEPENDENT,1,$500.01 
2015,TROCAIRE COLLEGE,5-INDEPENDENT,1,$225.00 
2015,VILLA MARIA COLLEGE OF BUFFALO,5-INDEPENDENT,1,$250.00 
2015,BRIARCLIFFE COLLEGE,6-BUS. DEGREE,1,"$12,315.00 "
2015,BRIARCLIFFE COLLEGE-PATCHOGUE,6-BUS. DEGREE,1,"$3,247.50 "
2015,COLL WESTCHESTER 2YR EVE,6-BUS. DEGREE,1,"$3,247.50 "
2015,COLL WESTCHESTER 4YR BBA DAY,6-BUS. DEGREE,1,$750.00 
2015,DEVRY COLLEGE OF NEW YORK,6-BUS. DEGREE,1,"$6,495.00 "
2015,EMPIRE EDUCATION CORPORATION,6-BUS. DEGREE,1,"$6,495.00 "
2015,ITT TECHNICAL INSTITUTE,6-BUS. DEGREE,1,"$6,495.00 "
2015,JAMESTOWN BUSINESS COLLEGE,6-BUS. DEGREE,1,"$20,049.36 "
2015,LONG ISLAND BUSINESS INSTITUTE,6-BUS. DEGREE,1,$500.01 
2015,THE NY CONSERV FOR DRAMATIC ARTS,6-BUS. DEGREE,1,$500.00 
2015,ARNOT OGDEN MEDICAL CENTER,8-OTHER,1,"$1,500.00 "
2015,ISABELLA GRAHAM HART SCH PRAC NUR,8-OTHER,1,$250.00 
2015,ST JOHNS UNIVERSITY,8-OTHER,1,$250.00 
2015,APEX TECHNICAL SCHOOL,VOCATIONAL - VET SCHOOLS ONLY,1,$860.50 
2015,EASTERN SUFFOLK BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,"$3,247.50 "
2015,ELECTRICAL TRAINING CENTER,VOCATIONAL - VET SCHOOLS ONLY,1,"$3,247.50 "
2015,GENESEE VALLEY BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,"$4,560.00 "
2015,INSTITUTE OF CULINARY EDUCATION,VOCATIONAL - VET SCHOOLS ONLY,1,"$3,247.50 "
2015,JEFFERSON-LEWIS BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,"$2,708.70 "
2015,NY METHODIST HOSPITAL CAHE,VOCATIONAL - VET SCHOOLS ONLY,1,"$6,495.00 "
2015,ONONDAGA CORTLAND MADISON BOCES,VOCATIONAL - VET SCHOOLS ONLY,1,"$3,247.50 "
2014,SUNY BINGHAMTON,3-SUNY SO,986,"$2,049,429.43 "
2014,SUNY STONY BROOK,3-SUNY SO,863,"$1,335,130.74 "
2014,SUNY BUFFALO,3-SUNY SO,833,"$1,209,955.06 "
2014,CORNELL UNIVERSITY,5-INDEPENDENT,630,"$576,820.50 "
2014,ROCHESTER INSTITUTE OF TECHLGY,5-INDEPENDENT,588,"$467,005.31 "
2014,CUNY CITY COLLEGE,1-CUNY SR,552,"$566,531.05 "
2014,CUNY HUNTER COLLEGE,1-CUNY SR,524,"$353,154.12 "
2014,NEW YORK UNIVERSITY,5-INDEPENDENT,520,"$687,485.31 "
2014,SUC GENESEO,3-SUNY SO,516,"$843,075.14 "
2014,SYRACUSE UNIVERSITY (UNDERGRAD),5-INDEPENDENT,398,"$620,713.00 "
2014,UNIVERSITY OF ROCHESTER,5-INDEPENDENT,372,"$304,090.00 "
