business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
81134,Carmelina's Taqueria,500 Parnassus Ave,San Francisco,CA,94143,,,,14155501121,81134_20160127,1/27/16 0:00,,Reinspection/Followup,81134_20160127_103131,Moderate risk vermin infestation,Moderate Risk
68963,West of Pecos,550 Valencia St,San Francisco,CA,94110,37.764087,-122.421881,"(37.764087, -122.421881)",14155257000,68963_20160412,4/12/16 0:00,,Reinspection/Followup,,,
1465,BAZAAR CAFE,5927 CALIFORNIA St,San Francisco,CA,94121,37.784023,-122.481199,"(37.784023, -122.481199)",,1465_20150528,5/28/15 0:00,87,Routine - Unscheduled,1465_20150528_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.796973,-122.408504,"(37.796973, -122.408504)",,58673_20160412,4/12/16 0:00,71,Routine - Unscheduled,58673_20160412_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
66534,Midway Grill (Snack Shop),99 Harding Park Road,San Francisco,CA,94103,37.723698,-122.495289,"(37.723698, -122.495289)",,66534_20160413,4/13/16 0:00,87,Routine - Unscheduled,66534_20160413_103120,Moderate risk food holding temperature,Moderate Risk
15535,Boudin Bakery & Cafe,160 Jefferson St 1st Floor,San Francisco,CA,94133,37.808352,-122.415157,"(37.808352, -122.415157)",,15535_20161227,12/27/16 0:00,,Reinspection/Followup,,,
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20141124,11/24/14 0:00,96,Routine - Unscheduled,77_20141124_103144,Unapproved or unmaintained equipment or utensils,Low Risk
77,OMNI S.F. Hotel - Employee Cafeteria,"500 California St, Basement",San Francisco,CA,94104,37.792888,-122.403135,"(37.792888, -122.403135)",,77_20141124,11/24/14 0:00,96,Routine - Unscheduled,77_20141124_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
3267,The Olive Garden Italian,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.475639,"(37.728497, -122.475639)",14155666770,3267_20161206,12/6/16 0:00,,Complaint,3267_20161206_103138,Improper storage use or identification of toxic substances,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/16 0:00,83,Routine - Unscheduled,81987_20160627_103156,Permit license or inspection report not posted,Low Risk
81987,Celtic Coffee Company,142 McAllister St,San Francisco,CA,94102,,,,,81987_20160627,6/27/16 0:00,83,Routine - Unscheduled,81987_20160627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
85407,Fritas Taco Truck,501 Buckingham Way,San Francisco,CA,94132,,,,,85407_20160601,6/1/16 0:00,85,Routine - Unscheduled,85407_20160601_103154,Unclean or degraded floors walls or ceilings,Low Risk
3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,37.76344,-122.478648,"(37.76344, -122.478648)",,3241_20160906,9/6/16 0:00,86,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk
59025,Sushi Umi,132 Bush St,San Francisco,CA,94104,37.791308,-122.400134,"(37.791308, -122.400134)",,59025_20160608,6/8/16 0:00,,Reinspection/Followup,,,
